State,District,Latitude,Longitude,Population,Male Population,Female population,Literate,Male Literate,Female Literate,SC,Male SC,Female SC,ST,Male ST,Female ST,Workers,Male Workers,Female Workers,Non Workers,Agricultural Workers,Other Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others Religions,LPG PNG Households,Housholds with Electricity,Households with Internet,Households with Computer,Below Primary Education,Primary Education,Secondary Education,Graduate Education,Other Education,Age 0-29,Age 30-49,Above 50,Households with Television,Households with Telephone Mobile Phone,Sex Ratio,Literacy Rate,Male Unliterate,Female Unliterate
Orissa,Koraput,18.82627794779476,82.81278469846964,1379647,678809,700838,568090,340843,227247,196540,96789,99751,697583,337373,360210,693406,384053,309353,686241,290626,181170,1294151,8850,68550,518,219,491,3384,39631,85766,3988,17294,158847,158653,60589,29000,10200,818578,348803,207206,60021,87649,103.0,41.0,337966,473591
Orissa,Malkangiri,18.25227930367506,81.98293636363628,613192,303624,309568,244706,147001,97705,138295,70052,68243,354614,171717,182897,310666,170495,140171,302526,106353,45328,600219,1871,10039,213,43,195,35,4738,24604,448,3908,60913,64683,19031,5585,1202,381913,146355,83284,16397,26853,102.0,40.0,156623,211863
Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,2519738,1256213,1263525,1369397,794171,575226,184682,92127,92555,1479576,730487,749089,1223534,697782,525752,1296204,568755,302199,2113079,33706,15008,661,162,109,351714,29031,140189,2950,17999,283489,390037,214921,72847,17415,1449729,650135,414076,83167,166662,101.0,54.0,462042,688299
Orissa,Nayagarh,20.192895622119817,85.05614700460825,962789,502636,460153,688362,392333,296029,136399,69813,66586,58691,29173,29518,343633,284591,59042,619156,120129,122925,955754,5278,383,107,33,24,12,11159,124984,1163,8278,174904,227102,90089,33148,5685,502136,262086,196994,50425,88288,92.0,71.0,110303,164124
Orissa,Nuapada,20.471309512195116,82.59152536585364,610382,301962,308420,299383,180903,118480,82159,40742,41417,206327,100469,105858,305438,168155,137283,304944,149834,52271,601092,4952,1778,724,76,905,22,6414,43976,757,4221,64389,114394,51886,10131,4316,344075,152681,112325,21975,38600,102.0,49.0,121059,189940
Orissa,Puri,19.83509174603177,85.86698989898981,1698730,865380,833350,1291939,704857,587082,325133,164366,160767,6129,3240,2889,621676,498461,123215,1077054,163942,259858,1644905,46094,4239,193,243,94,302,33331,201605,3416,16006,251520,413605,179086,87000,15511,888134,477430,328666,118112,178144,96.0,76.0,160523,246268
Orissa,Rayagada,19.292840020060204,83.45860120361095,967911,471960,495951,407735,241959,165776,139514,68068,71446,541905,259040,282865,467122,258032,209090,500789,248175,109723,874445,4607,84916,219,249,123,44,24924,61543,1553,9166,84956,97387,46001,17681,6306,577569,245766,140825,42998,56834,105.0,42.0,230001,330175
Orissa,Sambalpur,21.515752380952385,84.34958483245157,1041099,526877,514222,703691,393192,310499,191827,96511,95316,355261,177565,177696,505840,313161,192679,535259,160798,198954,964188,20120,50637,2506,310,86,1117,33612,126498,5231,14521,133005,185289,108455,45828,13071,565700,286575,186726,91058,104722,98.0,68.0,133685,203723
Orissa,Sundargarh,22.06354819277107,84.50524819277099,2093437,1061147,1032290,1342322,750147,592175,191660,96465,95195,1062349,526856,535493,873227,584687,288540,1220210,253327,408657,1532352,71391,385011,5713,710,721,89986,77581,223537,12787,35024,208100,350349,243386,94710,36590,1188918,573238,324436,164585,214427,97.0,64.0,311000,440115
Puducherry,Karaikal,10.876161726078813,79.82369793621002,200222,97809,102413,154916,79903,75013,35348,17206,18142,0,0,0,68301,53139,15162,131921,13077,51525,152638,28835,18391,46,63,54,14,28366,47880,1868,4870,18943,32899,29456,18998,4877,102333,60089,37434,38869,38555,105.0,77.0,17906,27400
Puducherry,Mahe,12.006420793787758,75.28275021570326,41816,19143,22673,36470,16610,19860,144,77,67,0,0,0,11802,9093,2709,30014,82,11608,27940,12856,958,3,21,14,3,3632,7150,574,1484,2948,6043,8773,4475,978,19760,12543,9428,6488,6913,118.0,87.0,2533,2813
Puducherry,Yanam,16.707695652173904,82.26187304347832,55626,27301,28325,39274,19919,19355,8427,4100,4327,0,0,0,16760,14047,2713,38866,3324,12999,53537,1191,873,3,1,4,4,10399,12859,207,597,3804,10954,8044,3836,1315,31973,15235,8402,7393,7831,104.0,71.0,7382,8970
Punjab,Amritsar,31.548679820627772,74.79883856502238,2490656,1318408,1172248,1684770,932981,751789,770864,405977,364887,0,0,0,917856,735195,182661,1572800,121599,629998,690939,12502,54344,1716935,876,3152,1044,279993,461231,29961,63864,197944,313874,328229,142399,15879,1384987,667193,436496,413460,379572,89.0,68.0,385427,420459
Punjab,Bathinda,30.190524611973352,75.05685898004438,1388525,743197,645328,844868,488261,356607,450473,236936,213537,0,0,0,549986,432988,116998,838539,128382,265131,380569,16299,2474,984286,246,1266,559,118427,255650,11284,32253,117795,182796,163928,70240,16666,754927,377707,255283,204051,215302,87.0,61.0,254936,288721
Punjab,Faridkot,30.591187250996025,74.79751553784862,617508,326671,290837,381285,215767,165518,240328,126567,113761,0,0,0,221555,185049,36506,395953,54058,106042,141363,3125,1227,469789,155,1109,103,62103,113549,4348,12276,53734,89433,75419,29838,5790,336540,164962,113721,93053,95758,89.0,62.0,110904,125319
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,600163,320795,279368,426033,238696,187337,192493,101882,90611,0,0,0,214783,182777,32006,385380,21389,141101,152851,16808,1698,427521,48,178,251,64037,113683,5138,14294,51897,102257,95073,34990,4607,321018,166781,111028,98080,98401,87.0,71.0,82099,92031
Punjab,Firozpur,30.63407535211269,74.40245732394365,2029074,1071637,957437,1227511,707070,520441,855726,445461,410265,0,0,0,756695,596406,160289,1272379,227971,322360,906408,6844,19358,1090815,454,1143,278,141899,349662,10042,31070,196971,306838,221806,82448,25734,1171770,525459,331259,277615,290671,89.0,60.0,364567,436996
Punjab,Gurdaspur,32.04283371212125,75.3204064393939,2298323,1212617,1085706,1634719,907660,727059,580576,304894,275682,0,0,0,757138,637652,119486,1541185,100684,477639,1074332,27667,176587,1002874,405,580,812,244468,411216,14428,38445,180897,315156,372317,104345,22107,1261421,611353,423301,365644,336075,90.0,71.0,304957,358647
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,1586625,809057,777568,1199699,637927,561772,557504,284322,273182,0,0,0,499822,412506,87316,1086803,74362,319698,1000743,23089,14968,538208,3476,2034,531,201675,319930,13747,34328,143871,256127,301435,93618,17427,831741,422782,330671,285904,278411,96.0,76.0,171130,215796
Punjab,Jalandhar,31.250336907216507,75.54400350515463,2193590,1145211,1048379,1622537,882581,739956,854444,442124,412320,0,0,0,774472,639484,134988,1419118,66664,592351,1394329,30233,26016,718363,11385,4011,805,299449,446200,39082,79134,183441,333736,339758,162965,34576,1159156,616431,416449,401189,395069,92.0,74.0,262630,308423
Punjab,Kapurthala,31.336592638036837,75.47641165644177,815168,426311,388857,576567,316254,260313,276707,143901,132806,0,0,0,284165,235562,48603,531003,42387,176665,336124,10190,5445,453692,6662,553,334,110555,161206,9732,23145,71698,127031,128828,48221,9501,433331,222324,157833,144945,145116,91.0,71.0,110057,128544
Punjab,Ludhiana,30.76596397379912,75.83110851528383,3498739,1867816,1630923,2560225,1428348,1131877,923358,487839,435519,0,0,0,1284822,1053600,231222,2213917,98646,973772,1502403,77713,16517,1863408,2007,19620,1254,488757,703624,58589,123400,277247,488129,527568,272280,44240,1901528,980046,614258,604959,606726,87.0,73.0,439468,499046
Punjab,Mansa,29.919547714285724,75.4304922857143,769751,408732,361019,423560,244037,179523,258878,136311,122567,0,0,0,328512,230739,97773,441239,90367,118740,156539,10375,917,598443,123,1577,493,39414,140099,2673,10085,75708,106162,85953,27461,5658,420050,200882,146103,102314,111889,88.0,55.0,164695,181496
Punjab,Moga,30.756540067340065,75.1600845117845,995746,525920,469826,627889,348549,279340,363417,192418,170999,0,0,0,359172,292379,66793,636574,82397,167055,158414,9388,3277,818921,178,436,365,89445,183396,7897,21662,98764,158812,128693,37417,11956,535408,258826,194768,152610,155841,89.0,63.0,177371,190486
Punjab,Muktsar,30.31243303303303,74.5518747747748,901896,475622,426274,524848,300401,224447,381554,200473,181081,0,0,0,335326,272699,62627,566570,111014,132560,254920,4333,1681,638625,240,744,433,76441,166585,4571,14077,90240,137470,104682,36905,10666,495167,242628,162297,130482,135144,90.0,58.0,175221,201827
Punjab,Patiala,30.214540380693364,76.27505893949697,1895686,1002522,893164,1266791,711052,555739,465359,244503,220856,0,0,0,660267,549661,110606,1235419,89123,434315,783306,40043,5683,1059944,245,1914,1410,209192,352929,24274,55105,173890,283837,256826,141947,27272,1042519,517079,335100,308440,303548,89.0,67.0,291470,337425
Punjab,Rupnagar,30.910937330754347,76.53743500967126,684627,357485,327142,502731,278534,224197,180905,94334,86571,0,0,0,233676,186910,46766,450951,21520,154195,304481,14492,2094,361045,118,653,143,67749,129123,6600,17542,53005,107715,116836,38823,9388,365300,185424,131707,111937,114425,92.0,73.0,78951,102945
Punjab,Sangrur,30.185045204336895,75.89437014178496,1655169,878029,777140,1002077,570413,431664,461609,244231,217378,0,0,0,568758,485129,83629,1086411,91799,301190,389410,179116,2406,1077438,268,3222,1038,135280,305557,10736,30955,163251,250833,220210,73636,18393,904316,435148,311621,244837,252535,89.0,61.0,307616,345476
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,2583052,1324085,1258967,1526673,926268,600405,478027,243750,234277,63482,32408,31074,1053722,686149,367573,1529330,145523,573741,2201663,314159,10605,6799,417,45614,184,171799,393498,13499,41732,379043,394576,200191,172683,28138,1561077,629951,388040,250461,363250,95.0,59.0,397817,658562
