State,District,Latitude,Longitude,Population,Male Population,Female population,Literate,Male Literate,Female Literate,SC,Male SC,Female SC,ST,Male ST,Female ST,Workers,Male Workers,Female Workers,Non Workers,Agricultural Workers,Other Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others Religions,LPG PNG Households,Housholds with Electricity,Households with Internet,Households with Computer,Below Primary Education,Primary Education,Secondary Education,Graduate Education,Other Education,Age 0-29,Age 30-49,Above 50,Households with Television,Households with Telephone Mobile Phone,Sex Ratio,Literacy Rate,Male Unliterate,Female Unliterate
Sikkim,East,27.29600352941175,88.74908392156858,1709346,907500,801846,1352998,748382,604616,281422,148019,133403,0,0,0,579692,486951,92741,1129654,3094,555901,1410852,178807,15792,53027,2643,46927,366,327253,352758,80037,127465,86484,219061,267825,246988,18644,948963,497157,262124,320151,329844,88.0,79.0,159118,197230
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,754894,374703,380191,480604,269582,211022,176230,88076,88154,10722,5274,5448,359851,212547,147304,395043,166837,72138,708397,7942,37403,104,88,65,42,39642,177502,1749,8371,60697,134123,96860,57524,16126,380484,216103,157771,165150,134358,101.0,64.0,105121,169169
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,4646732,2335844,2310888,3776276,1968079,1808197,779667,389001,390666,10061,5207,4854,1817297,1369302,447995,2829435,13674,1751824,3751322,439270,358662,2851,2804,51708,1759,910262,1096334,217368,355838,167207,516445,801050,905515,67277,2271657,1468902,899279,1055696,1017122,99.0,81.0,367765,502691
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,3458045,1729297,1728748,2635907,1394790,1241117,535911,266960,268951,28342,14245,14097,1567950,1083125,484825,1890095,230026,1207622,3044145,211035,190314,1112,435,3284,237,675153,896325,63273,149920,220388,466745,526165,440520,53709,1579517,1117221,757738,841918,777347,100.0,76.0,334507,487631
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,2605914,1311697,1294217,1815281,1000322,814959,763944,383943,380001,15702,7943,7759,1169880,749633,420247,1436034,539412,433271,2391675,123749,83334,401,236,1280,138,244610,598412,15396,50938,169844,412237,386652,227530,67411,1364411,764669,473617,555029,470021,99.0,70.0,311375,479258
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,1506843,774303,732540,917709,527599,390110,245392,124706,120686,63044,32130,30914,751170,446057,305113,755673,267345,267156,1452956,38304,14089,164,39,37,87,104785,337972,3651,18927,129778,240222,177877,112592,26069,804186,434328,267536,310765,258752,95.0,61.0,246704,342430
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,2159775,1080938,1078837,1481834,816180,665654,452376,225573,226803,8064,4095,3969,1105155,665469,439686,1054620,467959,440962,1879494,105012,169945,313,256,71,138,209640,500057,9155,38677,207751,386421,282628,163050,29443,1065734,647806,443528,458486,379839,100.0,69.0,264758,413183
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,2251744,1129868,1121876,1492662,828300,664362,369483,184408,185075,21880,11024,10856,1195773,732083,463690,1055971,370212,593069,2115455,76098,55899,435,148,639,157,371015,595211,18604,58861,175017,345914,269016,215514,30391,1006543,701326,542295,557479,483430,99.0,66.0,301568,457514
Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,3998252,2012958,1985294,3013382,1611461,1401921,948081,474264,473817,41210,20605,20605,1673814,1181308,492506,2324438,272514,1257225,3537399,173785,256762,1620,990,4962,756,622095,961161,100322,200738,183054,535947,634172,526886,67354,2076492,1200284,715895,904619,832716,99.0,75.0,401497,583373
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,1870374,926345,944029,1548738,780541,768197,74249,36817,37432,7282,3554,3728,679620,524629,154991,1190754,72867,555354,909872,78590,876299,160,438,156,10,199188,465692,15673,52943,134236,331559,322511,254107,43034,887052,556548,425849,438938,398548,102.0,83.0,145804,175832
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,1064493,528184,536309,727044,401726,325318,221385,108809,112576,575,297,278,543298,329034,214264,521195,200837,245249,993666,53292,16483,115,29,7,79,135831,264949,4915,17995,76629,190229,146666,85595,14951,501585,320645,241843,250010,210748,102.0,68.0,126458,210991
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,3038252,1526475,1511777,2273430,1223810,1049620,408976,205098,203878,11096,5622,5474,1354632,902704,451928,1683620,372828,841792,2760502,168881,97711,520,199,1532,305,391821,754141,34097,95311,234611,525151,453509,363152,39350,1528178,913715,593827,708942,618922,99.0,75.0,302665,462157
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,1616450,798127,818323,1213008,640916,572092,509767,252332,257435,3756,1847,1909,671994,461174,210820,944456,345057,247900,1435072,128617,47579,184,450,963,110,143846,381940,5585,19692,136593,323359,249630,125639,35762,828444,463326,323706,362211,282418,103.0,75.0,157211,246231
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,1726601,869280,857321,1176131,653312,522819,345392,173973,171419,57059,29383,27676,898245,531463,366782,828356,253726,447249,1673652,32483,16909,183,108,84,199,265276,441044,8960,31581,123573,297179,214836,169206,21582,817905,510413,397064,418420,352439,99.0,68.0,215968,334502
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,565223,282157,283066,375823,208011,167812,175289,87444,87845,2584,1292,1292,299726,162639,137087,265497,118278,58801,521658,32702,10301,83,39,38,26,49390,135751,1507,7745,85210,106751,71650,44025,9189,291371,158218,115151,125953,103116,100.0,66.0,74146,115254
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,1618345,803188,815157,1110545,608776,501769,284804,141428,143376,1283,647,636,761693,471099,290594,856652,305149,233333,1428784,114194,72850,119,81,32,293,82967,354493,4494,18272,97231,283299,251855,111731,31315,835853,470428,311175,324444,286329,101.0,69.0,194412,313388
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,1353445,682658,670787,978946,536487,442459,249008,125015,123993,1105,559,546,602977,392751,210226,750468,153874,250108,1047411,208038,91139,154,86,29,36,100484,291400,5172,22379,246909,293886,189132,97405,16785,708322,389764,252888,284169,252000,98.0,72.0,146171,228328
Tamil Nadu,Salem,11.629324202127655,78.2478257978723,3482056,1781571,1700485,2285562,1285107,1000455,580512,294062,286450,119369,60489,58880,1694160,1083797,610363,1787896,454210,841443,3326357,95487,53841,412,174,992,246,448968,835377,20660,63867,188672,571061,457866,296399,60365,1737345,1029479,713294,749932,650064,95.0,66.0,496464,700030
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,1339101,668672,670429,959744,526304,433440,227746,113599,114147,790,394,396,620171,391305,228866,718930,199563,264949,1186078,74310,75481,150,80,109,24,113822,314270,5773,24456,101778,216931,199263,115894,23941,666218,391356,280462,304124,258837,100.0,72.0,142368,236989
Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,2405890,1182416,1223474,1790998,944264,846734,455062,225859,229203,3561,1739,1822,974079,680483,293596,1431811,415361,397605,2075870,190814,133971,231,795,1256,148,223044,555582,13495,42912,138375,431983,373111,222410,49261,1193095,712017,499235,522490,446982,103.0,74.0,238152,376740
Tamil Nadu,Theni,9.924066666666668,77.43458833333332,1245899,625683,620216,870080,479403,390677,258200,129900,128300,1835,954,881,591642,368900,222742,654257,315161,223175,1148990,56751,37574,152,79,28,74,147529,312310,4667,18830,90590,219747,156676,101147,14674,618923,373564,252267,291879,209456,99.0,70.0,146280,229539
Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,3728104,1876062,1852042,2791721,1495711,1296010,821646,410526,411120,47243,23692,23551,1538054,1103563,434491,2190050,270586,1135784,3325823,143093,233633,1422,951,3693,530,621907,909400,75634,174279,181452,461918,622789,451321,66378,1925296,1154775,643614,857364,772398,99.0,75.0,380351,556032
Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,1264277,626693,637584,946471,503085,443386,430927,214717,216210,3034,1466,1568,540168,369853,170315,724109,295188,164657,1132785,96092,33192,258,151,279,64,109580,303114,4416,15535,138960,250163,203450,99082,28166,627880,377118,257116,287260,225629,102.0,75.0,123608,194198
Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,2464875,1235889,1228986,1626813,909803,717010,565329,282615,282714,90954,45956,44998,1238177,738995,499182,1226698,525063,373753,2294369,91636,66987,232,157,7898,110,176242,549077,6445,27529,203879,442688,343955,158041,36454,1301347,683904,477668,505170,389329,99.0,66.0,326086,511976
Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,3936331,1961688,1974643,2773928,1504355,1269573,860212,424668,435544,72955,36663,36292,1689330,1123874,565456,2247001,391955,985852,3397857,414760,111390,676,438,3514,251,417535,865913,20623,69912,191963,721473,641585,308514,71127,2096113,1116437,720713,797713,653681,101.0,70.0,457333,705070
Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,1942288,967709,974579,1398788,760375,638413,399831,198704,201127,2294,1182,1112,950158,579111,371047,992130,208702,649005,1822626,47838,67405,245,87,98,75,235005,505950,10219,37357,163264,398670,230321,167506,35156,987538,575006,378174,457317,353909,101.0,72.0,207334,336166
Tripura,Dhalai,23.781360477941163,91.94654283088232,378230,194544,183686,276217,151643,124574,61688,31461,30227,210608,106759,103849,155831,105657,50174,222399,42201,64804,307120,8256,22940,175,39120,85,206,5532,46875,273,5067,64515,84516,21430,6425,890,232286,95548,50269,24750,25563,94.0,73.0,42901,59112
Tripura,North Tripura,24.121739755351683,92.17842538226292,693947,352860,341087,520402,275646,244756,114968,58375,56593,179426,91116,88310,248667,186034,62633,445280,43977,148316,507967,105737,44062,151,34717,307,70,19631,81601,997,10310,129329,179547,47160,18419,3736,414878,178608,100274,43755,63308,97.0,75.0,77214,96331
Tripura,South Tripura,23.211874098057383,91.6065807585568,876001,447544,428457,646810,351082,295728,140168,72012,68156,344835,173174,171661,366845,253229,113616,509156,111332,163608,736015,49258,39258,245,49420,106,808,20246,133744,948,10393,129846,223185,70173,26870,5160,505558,236676,133424,78159,87445,96.0,74.0,96462,132729
Tripura,West Tripura,23.780166241299337,91.41310788863107,1725739,879428,846311,1361354,722998,638356,338094,172522,165572,431944,217278,214666,698178,500406,197772,1027561,156108,401732,1512801,152791,53622,499,2128,362,430,103228,314567,6394,36186,248343,421485,156277,85405,13478,940424,499719,284637,231324,228799,96.0,79.0,156430,207955
Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,4418797,2364953,2053844,2680510,1614594,1065916,991325,531641,459684,7255,3827,3428,1389844,1119701,270143,3028953,234455,775734,3922718,411313,10076,12057,4049,21508,384,251013,536402,27183,82012,600839,904836,450571,199395,20781,2871903,991255,547873,433913,520896,87.0,61.0,750359,987928
Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,3673889,1951996,1721893,2092567,1283380,809187,755254,402483,352771,629,340,289,1174361,929337,245024,2499528,267197,547097,2904140,729283,7635,5875,2582,2805,91,153283,268120,13634,58336,456870,491605,334738,172585,20498,2378289,787408,472667,262098,445913,88.0,57.0,668616,912706
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,5954391,3131807,2822584,3665727,2199340,1466387,1309851,687076,622775,7955,4270,3685,2111907,1426110,685797,3842484,541146,910601,5102041,796756,13782,4377,4391,2247,305,204357,391542,24122,85491,823863,934881,596615,428871,36764,3764404,1335224,818137,355913,616743,90.0,62.0,932467,1356197
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,2397888,1212410,1185478,1486939,846676,640263,591125,298240,292885,746,406,340,787398,547406,239992,1610490,301120,213944,1985654,401678,2536,869,1817,235,33,21512,99581,2509,27308,342667,392873,247028,194387,15458,1499494,515229,367234,61470,255512,98.0,62.0,365734,545215
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,1379545,740040,639505,930836,546198,384638,391622,211413,180209,150,91,59,442023,364543,77480,937522,151727,111032,1273546,101963,1004,371,332,228,444,32687,65479,2404,14279,133123,291837,168866,79012,6531,856336,320763,202054,60174,152099,86.0,67.0,193842,254867
Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,4613913,2285004,2328909,2771917,1559414,1212503,1171378,579586,591792,9327,4690,4637,1372032,941890,430142,3241881,452055,378356,3878626,718692,3810,719,5652,183,226,49699,183381,6652,47324,831966,1344726,489060,158303,8087,2930243,965876,699954,159910,500400,102.0,60.0,725590,1116406
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,1303048,700070,602978,797970,489858,308112,149060,79920,69140,14,10,4,416695,342604,74091,886353,74500,197130,917474,364583,1840,483,161,16139,25,44732,119121,2989,19999,139646,272939,132197,44164,3730,817140,283276,194548,111663,155781,86.0,61.0,210212,294866
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,3487731,1843884,1643847,1398368,878285,520083,509307,270226,239081,11159,5606,5553,1152160,895576,256584,2335571,482897,201071,2291892,1169330,6400,8212,2793,1177,38,38940,85814,2681,35463,447648,493760,104762,47690,7028,2275746,754346,446242,71676,270422,89.0,40.0,965599,1123764
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,3239774,1672902,1566872,1963590,1160960,802630,494698,257624,237074,110114,56817,53297,1019483,723060,296423,2220291,384432,356629,3004240,213440,4463,892,1595,233,64,62157,119972,4672,42969,436021,515010,409484,200434,20283,1975934,724362,502628,115533,342823,94.0,61.0,511942,764242
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,2148665,1114721,1033944,868357,544943,323414,277212,145928,131284,24887,12657,12230,760253,534332,225921,1388412,328768,124955,1333242,805975,3228,900,1866,198,87,16229,57400,1551,15510,379253,227932,65516,37109,2777,1415213,442339,283947,34497,194750,93.0,40.0,569778,710530
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,1799410,965876,833534,1002937,630626,372311,387855,208184,179671,163,82,81,701689,485314,216375,1097721,273458,157378,1637549,157612,1367,231,168,916,50,26907,73522,1655,18612,325773,415195,114783,63112,5728,1120432,408527,265310,52233,174698,86.0,56.0,335250,461223
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,3260699,1707073,1553626,1692458,1010518,681940,864559,453168,411391,610,333,277,1192850,871241,321609,2067849,421973,235163,2505444,737106,4857,2090,1553,3016,211,60554,108116,3159,26293,533140,420824,197780,113799,12281,2043335,709494,445269,116157,306578,91.0,52.0,696555,871686
Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,4448359,2357665,2090694,2191759,1342697,849062,557150,295964,261186,3227,1664,1563,1401971,1153006,248965,3046388,326376,577911,2830768,1536534,14822,28187,4371,931,339,210687,272830,15164,56575,717585,641251,272840,146446,16806,2893965,952233,514141,300504,481724,89.0,49.0,1014968,1241632
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,2464464,1255272,1209192,1393783,819719,574064,513959,262534,251425,3620,1876,1744,783688,558642,225046,1680776,282260,167644,2082976,364510,3493,900,9753,107,99,37593,108101,3423,30244,470355,349221,211477,143642,13030,1574037,519265,363891,76856,278758,96.0,57.0,435553,635128
Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,3682713,1921215,1761498,2135393,1241471,893922,787444,413872,373572,3058,1588,1470,1088036,921497,166539,2594677,311489,491840,2032081,1585210,6184,50624,1736,2134,41,128042,268353,7303,37341,498971,827447,255028,148185,14658,2404576,786305,450186,260312,445114,92.0,58.0,679744,867576
Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,3499171,1845260,1653911,2031656,1253314,778342,725600,384743,340857,198,118,80,1173260,897815,275445,2325911,241137,533711,2707195,777407,4088,2765,669,1572,86,124641,223922,7865,38225,443641,540754,338138,151182,17796,2246254,753949,472808,254050,410624,90.0,58.0,591946,875569
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,1952756,1017905,934851,1174606,699454,475152,446786,235161,211625,41725,21571,20154,652543,462971,189572,1300213,248674,219337,1727869,215081,2153,1389,340,100,1175,32433,99602,3492,20762,295979,367768,196240,88299,7586,1222695,437000,287767,109887,190317,92.0,60.0,318451,459699
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,991730,527721,464009,531072,330339,200733,266655,141379,125276,366,196,170,394197,254977,139220,597533,150695,70853,955372,34559,693,63,101,285,27,11637,41046,827,9437,168472,174106,69641,35826,3660,638046,214228,136669,27006,84775,88.0,54.0,197382,263276
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,3100946,1537436,1563510,1875239,1079288,795951,468663,235694,232969,109894,54216,55678,876246,639073,237173,2224700,291016,296575,2730957,358539,3626,818,1182,209,146,60348,150001,4469,36068,602403,473097,372031,194341,23334,1946336,664708,481219,122308,379700,102.0,60.0,458148,767559
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,1774480,947339,827141,1055202,647042,408160,281011,150631,130380,140,87,53,545984,440244,105740,1228496,131779,143413,1611126,146346,2464,708,2887,5671,18,37027,69591,2635,19712,238019,214091,178434,88607,8092,1149372,383707,237427,79090,200961,87.0,59.0,300297,418981
Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,1581810,845856,735954,1062003,623583,438420,388283,208731,179552,169,89,80,506072,413713,92359,1075738,158026,156416,1457892,113961,1362,1045,1733,3917,94,47520,113098,2964,21506,171216,292852,195192,118571,13400,979633,362026,237786,84543,177997,87.0,67.0,222273,297534
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,2470996,1259628,1211368,1450901,838339,612562,555047,281284,273763,931,469,462,831209,597888,233321,1639787,272734,254564,2094271,365806,3225,1912,737,358,185,58328,127754,4746,28625,356093,361114,231129,179996,18947,1534832,543148,367332,99531,276720,96.0,59.0,421289,598806
Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,1885204,1006240,878964,1092677,654827,437850,312712,168009,144703,230,124,106,592267,494545,97722,1292937,135679,167971,1596278,276846,3137,3160,3161,487,100,59209,88081,2624,18733,270550,330084,184298,110391,9368,1224584,411153,246795,87314,198066,87.0,58.0,351413,441114
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,2632733,1384722,1248011,1512166,911003,601163,651480,342892,308588,340,189,151,1063929,713736,350193,1568804,425366,258250,2274674,350700,2201,402,172,199,47,43492,75263,3385,33501,409875,463642,227119,116445,10212,1624830,603831,395547,97968,271445,90.0,57.0,473719,646848
Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,2498156,1332046,1166110,1521806,912314,609492,473890,253288,220602,2565,1346,1219,761521,621840,139681,1736635,150221,366763,2140745,314812,3370,1804,3395,19077,61,100919,196080,5834,31797,324525,416295,277163,108627,11313,1621154,543730,312689,169583,283190,88.0,61.0,419732,556618
Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,1648115,890214,757901,1122947,666065,456882,216105,115438,100667,2215,1189,1026,569109,443384,125725,1079006,48845,412196,1394025,215500,7366,9261,895,4518,91,193902,257586,53181,87188,201277,330623,218587,101645,5058,1015648,402967,188862,232925,278982,85.0,68.0,224149,301019
Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,4681645,2488834,2192811,3123264,1811397,1311867,773463,412750,360713,3968,2104,1864,1520538,1231615,288923,3161107,123680,1154318,3414427,1186776,19026,23001,3487,16412,265,501592,695130,78116,179552,534606,858286,597661,255949,26399,2891069,1139871,559963,592753,700485,88.0,67.0,677437,880944
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,3620268,1855075,1765193,2197549,1293553,903996,726641,375015,351626,28712,14664,14048,1204602,808700,395902,2415666,435934,331471,3233790,368153,4181,810,3145,213,184,36798,105767,5309,50180,566504,691057,449909,186306,12795,2234593,774130,556273,139187,375976,95.0,61.0,561522,861197
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,3433919,1787146,1646773,1679994,1034181,645813,531973,276656,255317,870,476,394,1170552,855848,314704,2263367,431532,233381,2739076,678615,4735,1893,649,338,57,45517,104084,4313,31811,678171,425584,192664,118176,8722,2223078,734903,464584,78099,346478,92.0,49.0,752965,1000960
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,4440895,2277777,2163118,2700328,1593890,1106438,936061,481123,454938,18172,9261,8911,1351629,1016876,334753,3089266,454931,558073,4009037,403847,9662,2123,2848,460,207,149727,296619,14597,65360,873031,618398,425913,273903,36253,2755630,992114,659677,255280,544038,95.0,61.0,683887,1056680
Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,4092845,2191442,1901403,2221601,1374587,847014,1274505,685223,589282,349,186,163,1318946,1091952,226994,2773899,406830,255654,3508131,556219,5822,5688,6671,446,98,60689,95508,3845,32065,741817,906861,247265,103523,9048,2598364,905306,559988,132969,387803,87.0,54.0,816855,1054389
Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,1689974,906092,783882,1075196,653430,421766,468178,252588,215590,832,428,404,620764,470969,149795,1069210,243035,155007,1509708,171581,1148,463,2875,256,145,42616,104176,2217,18615,169207,327534,167911,106888,10399,1002817,410090,274954,90428,199931,87.0,64.0,252662,362116
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,4494204,2220465,2273739,2731677,1565394,1166283,990345,494226,496119,4736,2363,2373,1437375,934157,503218,3056829,436792,371417,3981502,483750,4947,1286,7898,349,114,56508,181467,8002,52398,665376,939616,520111,256398,25909,2826453,927026,689979,211780,515736,102.0,61.0,655071,1107456
Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,1998603,1057436,941167,1304513,783705,520808,562505,297386,265119,3873,2074,1799,814914,565357,249557,1183689,248072,289313,1823930,147842,7050,4951,1203,7328,311,94342,183340,8517,40774,184997,370685,186348,92586,11783,1171301,510728,308331,163900,270128,89.0,65.0,273731,420359
Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,1840221,963449,876772,983110,600541,382569,318001,166662,151339,164,89,75,599089,459037,140052,1241132,131877,217940,1075440,750368,5952,5295,189,517,21,55064,89329,2825,18303,251669,352835,161282,69522,3021,1227283,391275,215849,101804,206663,91.0,53.0,362908,494203
Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,1656616,881776,774840,1017087,603596,413491,309980,166454,143526,15,9,6,524676,430934,93742,1131940,129517,104479,1375788,273967,1263,504,2033,606,65,32510,61491,2488,18082,237853,283674,175582,95072,7194,1069916,361028,223535,64187,174734,88.0,61.0,278180,361349
Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,1796184,963255,832929,1170243,692964,477279,460544,248195,212349,801,398,403,628864,493991,134873,1167320,234069,149026,1612968,176327,1300,478,819,155,103,23831,49753,2682,25354,235341,344866,223529,97740,5930,1100820,415918,276272,65556,184973,86.0,65.0,270291,355650
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,1599596,838485,761111,813424,507279,306145,555397,291303,264094,193,102,91,639086,402644,236442,960510,321410,146083,1372381,220423,2225,522,687,545,3,22034,43753,1503,15029,184229,253910,146757,45341,5115,1034099,336401,210556,52946,154650,91.0,51.0,331206,454966
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,3564544,1818055,1746489,1954820,1183722,771098,544231,278947,265284,80269,41003,39266,1116973,804857,312116,2447571,528388,265850,2928462,620244,5006,767,4619,383,133,29304,127331,3486,35931,836856,424892,249265,119625,11970,2236842,772777,500373,103014,404094,96.0,55.0,634333,975391
Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,1221592,641011,580581,641191,397586,243605,240519,126325,114194,71610,36834,34776,503351,326783,176568,718241,131354,89535,1163804,33724,1351,1034,69,20390,41,20720,77082,1079,9906,185575,202692,61543,34658,3535,793551,265080,159666,53524,126482,91.0,52.0,243425,336976
Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,4589838,2394476,2195362,3127260,1742440,1384820,948294,498799,449495,7506,4036,3470,1542806,1226399,316407,3047032,203029,1064336,3537787,985070,20493,23883,3877,4975,504,469747,582769,68506,152257,489898,554301,428121,639260,52132,2678289,1161686,685258,506413,607420,92.0,68.0,652036,810542
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,875958,466358,409600,488106,302283,185823,220898,117389,103509,647,355,292,349676,237153,112523,526282,130422,91487,815142,57454,965,389,94,234,157,12874,42936,1316,11298,119002,141201,60400,37165,3926,527067,201394,137393,35422,113025,88.0,56.0,164075,223777
Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,1868529,993377,875152,1203885,712110,491775,368206,196507,171699,478,258,220,560840,466067,94773,1307689,137174,127994,1746649,100723,1729,475,8814,4161,38,43074,79022,2642,24451,234774,353287,230731,111696,12281,1193660,402321,265638,76780,209597,88.0,64.0,281267,383377
Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,2547184,1367125,1180059,1507746,943346,564400,506580,271295,235285,1520,826,694,840939,635142,205797,1706245,179248,381352,2310776,216933,3179,2872,883,2056,126,107867,281239,8726,37596,303291,420976,233264,103102,10262,1600686,535738,327854,221574,318989,86.0,59.0,423779,615659
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,2205968,1114709,1091259,1363044,773082,589962,474537,241498,233039,22915,11464,11451,696747,475413,221334,1509221,212343,220565,1769937,428555,2109,340,564,155,129,40087,149908,2656,26716,344570,410737,256784,150462,15771,1402738,467343,323260,82073,232564,98.0,62.0,341627,501297
Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,3443689,1825743,1617946,2141488,1254520,886968,624149,334198,289951,3390,1828,1562,1090539,898810,191729,2353150,153995,677380,2183255,1185643,10582,24912,1855,18544,236,236071,425624,23717,69473,412280,495861,359944,275076,36096,2165117,780475,451827,354359,440962,89.0,62.0,571223,730978
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,2496970,1312302,1184668,1428683,865837,562846,661129,347436,313693,20132,10480,9652,881996,613061,268935,1614974,334372,289246,2292534,195765,2373,1133,341,701,27,43500,145997,4447,24518,361642,421577,232189,140668,17680,1590528,552177,346773,136132,237437,90.0,57.0,446465,621822
Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,4772006,2503186,2268820,2263848,1357435,906413,731406,385244,346162,685,377,308,1417811,1193439,224372,3354195,338384,622056,2488265,2248392,13157,7555,1260,2426,382,179473,281758,11690,61846,635957,725118,296210,186489,23372,3168270,988486,525574,283005,504670,91.0,47.0,1145751,1362407
Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,4143512,2193434,1950078,2417339,1448528,968811,561250,298587,262663,317,176,141,1291644,1081569,210075,2851868,323641,586002,2382914,1711453,6495,18601,1516,16345,60,147785,368153,10077,56149,826387,780470,281747,98691,5608,2671757,911621,544283,331760,512592,89.0,58.0,744906,981267
Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,2031007,1072002,959005,1061095,654290,406805,333558,176436,157122,1714,892,822,618605,534939,83666,1412402,224192,155155,1449007,489686,3510,84787,360,138,45,47723,83006,2870,18097,294135,281158,117838,66129,9713,1320476,449673,256276,106945,205860,89.0,52.0,417712,552200
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,867848,437744,430104,401515,250122,151393,60429,30755,29674,550427,276742,273685,481294,251691,229603,386554,96815,72544,827293,25597,358,72,32,14077,27,17984,71612,716,5961,142397,111276,35206,19109,2137,545987,204801,115608,37216,78345,98.0,46.0,187622,278711
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,3209141,1606085,1603056,1931559,1121381,810178,709252,351054,358198,723,380,343,1066601,704569,362032,2142540,386563,305650,2731351,452394,3920,1451,7795,746,43,46358,140538,5149,34400,427626,558350,332742,197846,20047,2002569,703727,492097,135185,397265,100.0,60.0,484704,792878
